,0,1
0,1605827332571,17878.50494341339
1,1605831039446,17822.996752811316
2,1605834375784,17775.271933413824
3,1605838402527,17940.763173876905
4,1605842903104,17987.234294986192
5,1605846666714,18062.911796616885
6,1605849535958,18093.1370037838
7,1605852364131,18107.869314207175
8,1605857040889,18302.129181897602
9,1605859568092,18203.65485669942
10,1605863841294,18216.207343925875
11,1605867229659,18168.48605623579
12,1605871969629,18281.260997124708
13,1605873887625,18289.524980404967
14,1605877447273,18252.176702411383
15,1605881209334,18245.614028893513
16,1605884498857,18538.990928183935
17,1605888053262,18670.494069733966
18,1605893508035,18639.72822846509
19,1605896421880,18613.600840920415
20,1605899035986,18578.03413991596
21,1605902513393,18634.760372485318
22,1605906904998,18600.735715134553
23,1605911608616,18546.754437332307
24,1605913393365,18602.601600649527
25,1605918690073,18741.297237684998
26,1605920866826,18889.864353760917
27,1605925149268,18891.399174151113
28,1605929565650,18788.678813849267
29,1605931578369,18654.81426567943
30,1605935217363,18576.578603370057
31,1605939853184,18704.842142784397
32,1605944035207,18684.31814372662
33,1605946157507,18658.804185505775
34,1605949312259,18753.543642644363
35,1605953981636,18678.66860930949
36,1605956830761,18608.66749826879
37,1605960311484,18494.81688068653
38,1605965606374,18649.787715029517
39,1605967494734,18776.3836601205
40,1605972404301,18736.85252660441
41,1605975253412,18800.716584442598
42,1605979825342,18667.915389661728
43,1605983423857,18712.308600510572
44,1605986431911,18669.40744571967
45,1605989985484,18592.470070586074
46,1605992976695,18620.19600935083
47,1605996407528,18612.172299402162
48,1606000154453,18603.88069921016
49,1606003746210,18654.335006151447
50,1606007062205,18510.870727986814
51,1606010820847,18416.15186887182
52,1606014174666,18548.58234217872
53,1606017917452,18550.46293749223
54,1606021363238,18507.394897820872
55,1606025193455,18440.016781337272
56,1606028900372,18414.631395934182
57,1606032217512,18439.63524930377
58,1606035790474,18183.49995776397
59,1606039524525,18294.048975194964
60,1606043240816,18095.716085832762
61,1606046790606,17865.809708815945
62,1606050134050,18062.45579549189
63,1606054114505,18165.068047344947
64,1606057730472,18176.366841912346
65,1606061300207,18240.483563161557
66,1606065175827,18466.43787017495
67,1606068129276,18431.201536387478
68,1606071753352,18466.71306524302
69,1606076034723,18544.76257429609
70,1606079553148,18486.222962168526
71,1606082873442,18507.98600141414
72,1606086204681,18602.733103978364
73,1606090437343,18425.57002786703
74,1606093686368,18128.15441760928
75,1606097339932,18207.79080337558
76,1606101184871,18207.155936987307
77,1606105095941,18388.948520049726
78,1606108105311,18482.40629445356
79,1606111636029,18445.994810477554
80,1606115356470,18477.689755087707
81,1606119557287,18487.66804802594
82,1606122996071,18557.644626968686
83,1606126778550,18640.133957216385
84,1606130092157,18690.533415822978
85,1606133974752,18501.32865257616
86,1606137072510,18633.031309189806
87,1606140431330,18558.620408852872
88,1606144638286,18504.421815602636
89,1606148119615,18266.19115636538
90,1606151580347,18326.64757991002
91,1606154583548,18322.509744640854
92,1606158707390,18295.105397326795
93,1606162471904,18434.19557460561
94,1606166198713,18323.617141606002
95,1606169719530,18357.49906199749
96,1606173556811,18316.10206557726
97,1606177044644,18273.49242736728
98,1606181004181,18450.612950056337
99,1606184361569,18390.49894588869
100,1606187723077,18332.29371727462
101,1606191561440,18349.033018504924
102,1606194969792,18374.112234386525
103,1606198029568,18303.95125340265
104,1606201977184,18407.624006507936
105,1606205144691,18369.32981940183
106,1606209291978,18646.410088130724
107,1606213246424,18870.302731477743
108,1606216396325,18847.52497776375
109,1606220202069,18955.419664092464
110,1606223750298,19205.255878581866
111,1606226691681,19143.582167737062
112,1606230773573,19305.513819955944
113,1606234417911,19315.000211744744
114,1606237715845,19257.225816896134
115,1606241189810,19135.703235051024
116,1606245256931,19192.871931631187
117,1606249215614,19139.487098837904
118,1606252332722,19017.57163491637
119,1606255553315,18895.563974252353
